"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"228647840442904577","","228003330","","","2012-07-27 00:27:47 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@ffx: ?You know that Tumblr ?Pictures of Asians Taking Pictures of Food?? My friend just got on it.?"
"228616446731767808","228615016125972480","14143983","","","2012-07-26 22:23:03 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@wickman you love that gif"
"228613567857975296","228613260964929536","228003330","","","2012-07-26 22:11:36 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@ffx @skilldrick @xc @hoverbird bottom: 2px;"
"228610554112139264","228588514357432320","26233","","","2012-07-26 21:59:38 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@xc @skilldrick proposal to change @ffx's name to ?Hoverhand?"
"228588601699614721","","","","","2012-07-26 20:32:24 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Holding judgement but the film adaptation of David Mitchell's Cloud Atlas looks extremely promising: http://t.co/AJtj6iml","http://trailers.apple.com/trailers/wb/cloudatlas/"
"228321097278439424","228320997030379520","173890634","","","2012-07-26 02:49:26 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@britt_dc Wouldn't want to disappoint you."
"228320370732711936","228318756806483968","173890634","","","2012-07-26 02:46:33 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@britt_dc I didn't make the lottery this time around, but it's okay, because I've got reservations for the opening night of @AbbotsCellar"
"228320178579050496","228315453674622978","38727908","","","2012-07-26 02:45:47 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@gastroclub Whoa, what is that space?!"
"228320045388951552","228313568129478656","15335058","","","2012-07-26 02:45:15 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@todd http://t.co/xsJkWHVx / http://t.co/ShI6xbQC, forward confirmations to http://t.co/pxfDEnVd, receive alerts via http://t.co/Ye0MgIi1","http://hipmunk.com","http://kayak.com","http://tripit.com","http://www.mobiata.com/apps/flighttrackpro-iphone"
"228303746797559809","","146703","","","2012-07-26 01:40:29 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@jackcheng I keep watching your Kickstarter video wishing you were also an avant garde film director. Also, thank you for ?Lattice.?"
"228294339388911616","228292541135589376","16116572","","","2012-07-26 01:03:06 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@zed oh god"
"228285340018937857","228284272111398914","17346623","","","2012-07-26 00:27:21 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@dhg where are your new digs"
"228255162911842308","","16815305","","","2012-07-25 22:27:26 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@dvvglvs http://t.co/Owz5O10h","http://i.imgur.com/4q2iI.gif"
"228023743899901952","228023585627848704","1583331","","","2012-07-25 07:07:51 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@evanm guess i am now"
"227869405634248704","","13462502","","","2012-07-24 20:54:34 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@Truebe @truebebooks needs more stroopwafel"
"227864245965041664","227863477463707648","22071041","","","2012-07-24 20:34:04 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@stewartmccoy https://t.co/EzXRDR0z","https://twitter.com/mdo/status/227859042398265344"
"227641872179404800","","","","","2012-07-24 05:50:26 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","?My 2-month old niece already knows multivariable calculus and is playing the violin!? ??@kwantada"
"227304695314661376","","","","","2012-07-23 07:30:37 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","git: 'confit' is not a git command."
"227283891440996354","227279780079337472","635653","","","2012-07-23 06:07:57 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@dokas There are several in San Francisco and the Bay Area: http://t.co/0l5RiRza plus one in Bernal Heights Park that's not listed there.","http://www.examiner.com/article/the-seven-labyrinths-of-san-francisco"
"227280504746016769","227264769286103040","20321140","","","2012-07-23 05:54:29 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@paulmison Hm, my flights are almost always headed to the midwest or east coast, so port when departing SFO and starboard on return."
"227233712037851136","227231989349109761","5413","","","2012-07-23 02:48:33 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@dustin did you guys move to noe valley this weekend"
"227218756873646080","227218638099324928","16815305","","","2012-07-23 01:49:07 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@dvvglvs Friend of mine I saw it with, and we both went in knowing next to nothing about the film. :\"
"227217821342523394","227217063054282753","16815305","","","2012-07-23 01:45:24 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@dvvglvs I agree Hathaway did a great job, but man, I was mixed by it. Pretty much agree with everything here: http://t.co/QikcXQFn","http://letterboxd.com/mwichary/film/the-dark-knight-rises/"
"227214825569255426","227092942643425281","20321140","","","2012-07-23 01:33:30 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@paulmison This is how I plan my flights in and out of SF, too ??always optimizing for a view of the city."
"227162978456309760","227144628074344448","35623","","","2012-07-22 22:07:29 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@jimray @phillygirl oh my god, yes"
"227090992182988800","227090512497242114","26233","","","2012-07-22 17:21:26 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@xc I have a large bladder so I go for the window seat, always."
"227088528113270784","","","","","2012-07-22 17:11:38 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Do others choose seats on flights based on the direction and time they'll be flying for certain views out the window or is that just my OCD?"
"226940451842830336","226883241926340608","14804598","","","2012-07-22 07:23:14 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@ohmgee Really? I was pretty disappointed by it. Roger Ebert?s review summed it up for me."
"226921440912494593","","16815305","","","2012-07-22 06:07:42 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@dvvglvs i found a picture of you sleeping on the internet http://t.co/vWRqKmQk","http://www.etsy.com/listing/86792554/slice-of-pizza-sleeping-bag-w-veggie"
"226887880763645952","226885488731103232","26233","","","2012-07-22 03:54:20 +0000","<a href=""http://itunes.apple.com/us/app/quip/id501870713?mt=8&uo=4"" rel=""nofollow"">Quip on iOS</a>","@xc yeah, kinda"
"226852718524907520","226837942612684800","12555","","","2012-07-22 01:34:37 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@jbrewer YES"
"226849370077794304","226827213830488064","14252406","","","2012-07-22 01:21:22 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@alexandrak turns out vanderslice didn?t play, but there was urban bowling, a beer garden, and sushi burritos! http://t.co/jW9UZUaL","http://twitter.com/couch/status/226849370077794304/photo/1"
"226795363078660096","226787792364118016","22891211","","","2012-07-21 21:46:42 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@chanian https://t.co/InJEv8tW","https://twitter.com/mwichary/status/202258175158796288"
"226533266512027649","226514762249428993","18522882","","","2012-07-21 04:25:14 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@eunilee oh my god"
"226458099895115778","226453163098636288","36468395","","","2012-07-20 23:26:33 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@kimathomas paging @everydaydude"
"226069203768205313","226060105446199296","757502","","","2012-07-19 21:41:12 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@weightshift I'd also recommend Cadence's bamboo socks. Picked them up at @huckbikes and they're amazing. https://t.co/t4yN5ZB6","https://cadencecollection.myshopify.com/products/low-sock"
"226059498828210176","226055119920308224","14252406","","","2012-07-19 21:02:39 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@alexandrak uh that's less than a mile from my place, guess I have new Saturday plans now"
"226037418443300864","","","","","2012-07-19 19:34:55 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Well, seven co-workers are dressed as Batman and @azizansari is speaking over lunch, what is this job http://t.co/mdkdpjoC","http://twitter.com/couch/status/226037418443300864/photo/1"
"226032098543271936","","78154150","","","2012-07-19 19:13:46 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@leftparen you look like abed"
